0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0.314357537,0.314357537,0.314357537,0.314357537,0.314357537,0.314357537,0.314357537,0.732783238,0.732783238,0.314357537,0.314357537,0.314357537,0.314357537,0.451752844,0.451752844,0.451752844,0.451752844
0.255418606,0.255418606,0.255418606,0.255418606,0.255418606,0.255418606,0.255418606,0.695233241,0.695233241,0.255418606,0.255418606,0.255418606,0.255418606,0.375116322,0.375116322,0.375116322,0.375116322
0.209778888,0.209778888,0.209778888,0.209778888,0.209778888,0.209778888,0.209778888,0.642387425,0.642387425,0.209778888,0.209778888,0.209778888,0.209778888,0.353249842,0.353249842,0.353249842,0.353249842
0.185398679,0.185398679,0.185398679,0.185398679,0.185398679,0.185398679,0.185398679,0.583600066,0.583600066,0.185398679,0.185398679,0.185398679,0.185398679,0.438557101,0.438557101,0.438557101,0.438557101
0.190066617,0.190066617,0.190066617,0.190066617,0.190066617,0.190066617,0.190066617,0.506061189,0.506061189,0.190066617,0.190066617,0.190066617,0.190066617,0.545821663,0.545821663,0.545821663,0.545821663
0.251008099,0.251008099,0.251008099,0.251008099,0.251008099,0.251008099,0.251008099,0.439484795,0.439484795,0.251008099,0.251008099,0.251008099,0.251008099,0.603156086,0.603156086,0.603156086,0.603156086
0.312877869,0.312877869,0.312877869,0.312877869,0.312877869,0.312877869,0.312877869,0.405047774,0.405047774,0.312877869,0.312877869,0.312877869,0.312877869,0.671801459,0.671801459,0.671801459,0.671801459
0.377789914,0.377789914,0.377789914,0.377789914,0.377789914,0.377789914,0.377789914,0.363787845,0.363787845,0.377789914,0.377789914,0.377789914,0.377789914,0.700534497,0.700534497,0.700534497,0.700534497
0.429260316,0.429260316,0.429260316,0.429260316,0.429260316,0.429260316,0.429260316,0.370341112,0.370341112,0.429260316,0.429260316,0.429260316,0.429260316,0.765920712,0.765920712,0.765920712,0.765920712
0.464751831,0.464751831,0.464751831,0.464751831,0.464751831,0.464751831,0.464751831,0.430567046,0.430567046,0.464751831,0.464751831,0.464751831,0.464751831,0.785432125,0.785432125,0.785432125,0.785432125
0.498420616,0.498420616,0.498420616,0.498420616,0.498420616,0.498420616,0.498420616,0.509698303,0.509698303,0.498420616,0.498420616,0.498420616,0.498420616,0.790160921,0.790160921,0.790160921,0.790160921
0.572742882,0.572742882,0.572742882,0.572742882,0.572742882,0.572742882,0.572742882,0.547271643,0.547271643,0.572742882,0.572742882,0.572742882,0.572742882,0.793557009,0.793557009,0.793557009,0.793557009
0.644489658,0.644489658,0.644489658,0.644489658,0.644489658,0.644489658,0.644489658,0.595566695,0.595566695,0.644489658,0.644489658,0.644489658,0.644489658,0.790992534,0.790992534,0.790992534,0.790992534
0.717494562,0.717494562,0.717494562,0.717494562,0.717494562,0.717494562,0.717494562,0.637933594,0.637933594,0.717494562,0.717494562,0.717494562,0.717494562,0.792075685,0.792075685,0.792075685,0.792075685
0.760132473,0.760132473,0.760132473,0.760132473,0.760132473,0.760132473,0.760132473,0.696447462,0.696447462,0.760132473,0.760132473,0.760132473,0.760132473,0.790665687,0.790665687,0.790665687,0.790665687
0.762568682,0.762568682,0.762568682,0.762568682,0.762568682,0.762568682,0.762568682,0.749055035,0.749055035,0.762568682,0.762568682,0.762568682,0.762568682,0.786836264,0.786836264,0.786836264,0.786836264
0.740164631,0.740164631,0.740164631,0.740164631,0.740164631,0.740164631,0.740164631,0.779490099,0.779490099,0.740164631,0.740164631,0.740164631,0.740164631,0.787348778,0.787348778,0.787348778,0.787348778
