line_num,from_node,to_node,is_existing,maxFlow,susceptance,length
33.0,0.0,10.0,0.0,2686.2943333333333,244.78143992745302,47.41372078165046
34.0,1.0,2.0,0.0,2686.2943333333333,244.78143992745302,21.777389902423142
35.0,1.0,3.0,0.0,2686.2943333333333,244.78143992745302,24.08865138129638
36.0,1.0,0.0,0.0,2686.2943333333333,244.78143992745302,29.36306138057872
37.0,1.0,5.0,0.0,2686.2943333333333,244.78143992745302,30.13417189088099
38.0,2.0,3.0,0.0,2686.2943333333333,244.78143992745302,13.873851767841778
39.0,2.0,1.0,0.0,2686.2943333333333,244.78143992745302,21.777389902423142
40.0,2.0,0.0,0.0,2686.2943333333333,244.78143992745302,22.865263340084518
41.0,2.0,4.0,0.0,2686.2943333333333,244.78143992745302,40.41092100417813
42.0,3.0,2.0,0.0,2686.2943333333333,244.78143992745302,13.873851767841778
43.0,3.0,1.0,0.0,2686.2943333333333,244.78143992745302,24.08865138129638
44.0,3.0,4.0,0.0,2686.2943333333333,244.78143992745302,29.455643631933192
45.0,3.0,12.0,0.0,2686.2943333333333,244.78143992745302,32.50869117065417
46.0,4.0,12.0,0.0,2686.2943333333333,244.78143992745302,10.663627546918883
47.0,4.0,3.0,0.0,2686.2943333333333,244.78143992745302,29.455643631933192
48.0,4.0,2.0,0.0,2686.2943333333333,244.78143992745302,40.41092100417813
49.0,4.0,1.0,0.0,2686.2943333333333,244.78143992745302,52.89307549695137
50.0,5.0,1.0,0.0,2686.2943333333333,244.78143992745302,30.13417189088099
51.0,5.0,6.0,0.0,2686.2943333333333,244.78143992745302,37.672642571934965
52.0,5.0,3.0,0.0,2686.2943333333333,244.78143992745302,40.211073265615546
53.0,5.0,10.0,0.0,2686.2943333333333,244.78143992745302,42.866420239688786
54.0,6.0,15.0,0.0,2686.2943333333333,244.78143992745302,23.329966495429137
55.0,6.0,5.0,0.0,2686.2943333333333,244.78143992745302,37.672642571934965
56.0,6.0,16.0,0.0,2686.2943333333333,244.78143992745302,48.7668559092148
57.0,6.0,14.0,0.0,2686.2943333333333,244.78143992745302,55.97458373069368
58.0,7.0,8.0,0.0,2686.2943333333333,244.78143992745302,192.2815269451198
59.0,7.0,11.0,0.0,2686.2943333333333,244.78143992745302,259.7507190815193
60.0,7.0,9.0,0.0,2686.2943333333333,244.78143992745302,287.0700441368644
61.0,7.0,0.0,0.0,2686.2943333333333,244.78143992745302,302.37512664212454
62.0,8.0,11.0,0.0,2686.2943333333333,244.78143992745302,75.55497581946905
63.0,8.0,0.0,0.0,2686.2943333333333,244.78143992745302,110.35648430317315
64.0,8.0,10.0,0.0,2686.2943333333333,244.78143992745302,115.37812810321769
65.0,8.0,1.0,0.0,2686.2943333333333,244.78143992745302,131.04523594840913
66.0,9.0,11.0,0.0,2686.2943333333333,244.78143992745302,92.84799726806571
67.0,9.0,10.0,0.0,2686.2943333333333,244.78143992745302,105.16530847103328
68.0,9.0,6.0,0.0,2686.2943333333333,244.78143992745302,133.29730381299765
69.0,9.0,5.0,0.0,2686.2943333333333,244.78143992745302,133.3181322138696
70.0,10.0,1.0,0.0,2686.2943333333333,244.78143992745302,34.15252038696281
71.0,10.0,5.0,0.0,2686.2943333333333,244.78143992745302,42.866420239688786
72.0,10.0,11.0,0.0,2686.2943333333333,244.78143992745302,44.54776594011595
73.0,10.0,0.0,0.0,2686.2943333333333,244.78143992745302,47.41372078165046
74.0,11.0,10.0,0.0,2686.2943333333333,244.78143992745302,44.54776594011595
75.0,11.0,0.0,0.0,2686.2943333333333,244.78143992745302,66.81090600908537
76.0,11.0,1.0,0.0,2686.2943333333333,244.78143992745302,71.78050198804026
77.0,11.0,8.0,0.0,2686.2943333333333,244.78143992745302,75.55497581946905
78.0,12.0,4.0,0.0,2686.2943333333333,244.78143992745302,10.663627546918883
79.0,12.0,3.0,0.0,2686.2943333333333,244.78143992745302,32.50869117065417
80.0,12.0,2.0,0.0,2686.2943333333333,244.78143992745302,45.35017722254718
81.0,12.0,1.0,0.0,2686.2943333333333,244.78143992745302,53.74108403383593
82.0,13.0,14.0,0.0,2686.2943333333333,244.78143992745302,25.693454395321737
83.0,13.0,16.0,0.0,2686.2943333333333,244.78143992745302,46.08225027340227
84.0,13.0,15.0,0.0,2686.2943333333333,244.78143992745302,51.6881833068032
85.0,13.0,6.0,0.0,2686.2943333333333,244.78143992745302,73.20039758051298
86.0,14.0,16.0,0.0,2686.2943333333333,244.78143992745302,20.396517495509162
87.0,14.0,13.0,0.0,2686.2943333333333,244.78143992745302,25.693454395321737
88.0,14.0,15.0,0.0,2686.2943333333333,244.78143992745302,32.664260256933254
89.0,14.0,6.0,0.0,2686.2943333333333,244.78143992745302,55.97458373069368
90.0,15.0,6.0,0.0,2686.2943333333333,244.78143992745302,23.329966495429137
91.0,15.0,16.0,0.0,2686.2943333333333,244.78143992745302,27.82480057121703
92.0,15.0,14.0,0.0,2686.2943333333333,244.78143992745302,32.664260256933254
93.0,15.0,13.0,0.0,2686.2943333333333,244.78143992745302,51.6881833068032
94.0,16.0,14.0,0.0,2686.2943333333333,244.78143992745302,20.396517495509162
95.0,16.0,15.0,0.0,2686.2943333333333,244.78143992745302,27.82480057121703
96.0,16.0,13.0,0.0,2686.2943333333333,244.78143992745302,46.08225027340227
97.0,16.0,6.0,0.0,2686.2943333333333,244.78143992745302,48.7668559092148
