Date,Cluster,Extreme Day,Medoid
12/8/2050,342,0,1
12/9/2050,343,0,1
12/10/2050,344,0,1
12/11/2050,345,0,1
12/12/2050,346,0,1
12/13/2050,347,0,1
12/14/2050,348,0,1
12/15/2050,349,0,1
12/16/2050,350,0,1
12/17/2050,351,0,1
12/18/2050,352,0,1
12/19/2050,353,0,1
12/20/2050,354,0,1
12/21/2050,355,0,1
12/22/2050,356,0,1
12/23/2050,357,0,1
12/24/2050,358,0,1
12/25/2050,359,0,1
12/26/2050,360,0,1
12/27/2050,361,0,1
12/28/2050,362,0,1
12/29/2050,363,0,1
12/30/2050,364,0,1
12/31/2050,365,0,1
