Day,Cluster,is_medoid?
216.0,14.0,0.0
217.0,14.0,0.0
218.0,4.0,0.0
219.0,4.0,0.0
220.0,14.0,0.0
221.0,14.0,0.0
222.0,14.0,0.0
223.0,15.0,0.0
224.0,8.0,0.0
225.0,19.0,0.0
226.0,25.0,0.0
227.0,6.0,0.0
228.0,13.0,0.0
229.0,19.0,0.0
230.0,14.0,0.0
231.0,14.0,0.0
232.0,25.0,0.0
233.0,17.0,0.0
234.0,17.0,0.0
235.0,17.0,0.0
236.0,14.0,0.0
237.0,4.0,0.0
238.0,6.0,0.0
239.0,6.0,0.0
240.0,4.0,0.0
241.0,27.0,0.0
242.0,22.0,0.0
243.0,13.0,0.0
244.0,15.0,0.0
245.0,13.0,0.0
246.0,4.0,0.0
247.0,6.0,1.0
248.0,22.0,0.0
249.0,19.0,0.0
250.0,1.0,0.0
251.0,1.0,0.0
252.0,4.0,0.0
253.0,8.0,0.0
254.0,19.0,1.0
255.0,25.0,0.0
256.0,19.0,0.0
257.0,27.0,0.0
258.0,0.0,0.0
259.0,4.0,0.0
260.0,4.0,0.0
261.0,24.0,0.0
262.0,15.0,0.0
263.0,16.0,0.0
264.0,8.0,0.0
265.0,13.0,0.0
266.0,10.0,0.0
267.0,17.0,1.0
268.0,17.0,0.0
269.0,4.0,0.0
270.0,27.0,0.0
271.0,4.0,0.0
272.0,10.0,0.0
273.0,8.0,0.0
274.0,17.0,0.0
275.0,24.0,0.0
276.0,15.0,0.0
277.0,16.0,0.0
278.0,15.0,0.0
279.0,8.0,1.0
280.0,8.0,0.0
281.0,8.0,0.0
282.0,13.0,0.0
283.0,17.0,0.0
284.0,24.0,0.0
285.0,0.0,0.0
286.0,1.0,0.0
287.0,8.0,0.0
288.0,8.0,0.0
289.0,1.0,0.0
290.0,1.0,0.0
291.0,8.0,0.0
292.0,15.0,0.0
293.0,0.0,0.0
294.0,8.0,0.0
295.0,8.0,0.0
296.0,8.0,0.0
297.0,16.0,0.0
298.0,8.0,0.0
299.0,16.0,1.0
300.0,15.0,0.0
301.0,22.0,0.0
302.0,13.0,0.0
303.0,17.0,0.0
304.0,20.0,0.0
305.0,20.0,0.0
306.0,3.0,0.0
307.0,15.0,0.0
308.0,16.0,0.0
309.0,25.0,0.0
310.0,3.0,0.0
311.0,2.0,0.0
312.0,2.0,0.0
313.0,0.0,0.0
314.0,13.0,0.0
315.0,15.0,0.0
316.0,13.0,0.0
317.0,7.0,0.0
318.0,2.0,0.0
319.0,23.0,1.0
320.0,23.0,0.0
321.0,3.0,0.0
322.0,3.0,0.0
323.0,3.0,0.0
324.0,3.0,0.0
325.0,7.0,1.0
326.0,16.0,0.0
327.0,8.0,0.0
328.0,16.0,0.0
329.0,7.0,0.0
330.0,2.0,0.0
331.0,5.0,0.0
332.0,9.0,0.0
333.0,3.0,1.0
334.0,3.0,0.0
335.0,12.0,0.0
336.0,3.0,0.0
337.0,2.0,0.0
338.0,2.0,0.0
339.0,2.0,0.0
340.0,20.0,0.0
341.0,5.0,0.0
342.0,20.0,0.0
343.0,2.0,0.0
344.0,7.0,0.0
345.0,2.0,0.0
346.0,7.0,0.0
347.0,2.0,1.0
348.0,9.0,0.0
349.0,9.0,0.0
350.0,23.0,0.0
351.0,3.0,0.0
352.0,2.0,0.0
353.0,9.0,1.0
354.0,9.0,0.0
355.0,2.0,0.0
356.0,7.0,0.0
357.0,23.0,0.0
358.0,20.0,0.0
359.0,16.0,0.0
360.0,2.0,0.0
361.0,3.0,0.0
362.0,2.0,0.0
363.0,12.0,1.0
364.0,12.0,0.0
